2026-05-07 08:18:41 | INFO    | LibraryTestRunner | run_full_flow: query='Dune', max_year=2000, limit=1
2026-05-07 08:18:41 | INFO    | SearchService | Searching for 'Dune', max_year=2000, limit=1
2026-05-07 08:18:41 | INFO    | HomePage | Navigating to https://openlibrary.org/
2026-05-07 08:18:44 | INFO    | HomePage | Searching for: 'Dune'
2026-05-07 08:18:48 | INFO    | HomePage | Navigation to search results complete
2026-05-07 08:18:49 | INFO    | SearchResultsPage | Extracted 20 raw results from current page
2026-05-07 08:18:49 | INFO    | SearchService | Done. Returning 1 results (visited 1 page(s))
2026-05-07 08:18:49 | INFO    | LibraryTestRunner | Found 1 books
2026-05-07 08:18:49 | INFO    | LoginPage | Navigating to https://openlibrary.org/account/login
2026-05-07 08:18:50 | INFO    | LoginPage | Logging in as 'shragae120@gmail.com'
2026-05-07 08:18:55 | INFO    | LoginPage | Login successful (no error banner appeared)
2026-05-07 08:18:55 | INFO    | ReadingListService | Session established
2026-05-07 08:18:55 | INFO    | BookDetailPage | Opening book: https://openlibrary.org/works/OL893415W/Dune?edition=key%3A/books/OL26242482M
2026-05-07 08:18:57 | INFO    | ReadingListService | Processing: 'Dune'
2026-05-07 08:18:57 | INFO    | BookDetailPage | Clicking Want to Read
2026-05-07 08:19:07 | ERROR   | ReadingListService | Failed for 'https://openlibrary.org/works/OL893415W/Dune?edition=key%3A/books/OL26242482M': Page.wait_for_function: Timeout 5000ms exceeded.
2026-05-07 08:19:07 | INFO    | ReadingListService | Completed: 0/1 books processed successfully
2026-05-07 08:19:07 | WARNING | LibraryTestRunner | No books were added successfully — skipping verification
2026-05-07 08:19:07 | INFO    | PerformanceService | Performance report written: reports\performance_report.json
2026-05-07 08:19:07 | INFO    | LibraryTestRunner | Flow complete: {'query': 'Dune', 'max_year': 2000, 'urls_found': 1, 'urls_added': 0, 'urls_failed': 1, 'want_to_read_count': 0, 'already_read_count': 0, 'currently_reading_count': 0, 'reading_list_count': 0, 'verification_passed': False, 'performance_report_path': 'reports\\performance_report.json'}
